mOther | мАма
fAthers|отцы
i | я
look | СМОТРЕТЬ
look FORWARD TO|ждать с нетерпением
SCHOOL | школа
our school team | наша шкОЛьная команда
HI | привет
my name is | меня зовут
my | мой
at | в
classmate| одноклассник
thirteen years old |   тринадцать лет
Too | тоже
she|она
usually | обычно
sister | сестра
like a | как
to me | для меня
violin class | урок   скрипки
piano class | занятие по фортепиано
I want to talk about my best friend |Я хочу поведать о моей подруге
both | оба
we | мы
engineers | ИНЖЕНЕРЫ
have a picnic | устраиваем пикник
THEy | ОнИ
different companies | разных компаниях
the only CHILD | единственный РЕБЁНОК
I don’t have a | у меня нет
